#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
chosen_auril;Chosen of Auril;;;;;;;;;;;x
chosen_auril_desc;Those chosen by Auril are selected with little consideration towards her Chosen's wishes. She tends to select those few her embody her fickleness, vanity, and icy-cold heart. Though those who wield the Ring of Winter can also count on her blessing.;;;;;;;;;;;x
chosen_gruumsh;Chosen of Gruumsh;;;;;;;;;;;x
chosen_gruumsh_desc;Those blessed by Gruumsh as his Chosen are given the strength of a bull, the speed of a wildcat, and increased intelligence. Perhaps most terrifying is that the Chosen is considered to be synonymous with Gruumsh and are called Who-Is-Gruumsh by other orcs.;;;;;;;;;;;x
chosen_lolth;Chosen of Lolth;;;;;;;;;;;x
chosen_lolth_desc;The Yor'thae, or "Chosen One" in High Drow are Lolth's most venerable priestesses. Those chosen by Lolth are, like their mistress, generally treacherous and cruel. They are Lolth's greatest tools and blessed with powerful abilities because of this.;;;;;;;;;;;x
chosen_mystra;Chosen of Mystra;;;;;;;;;;;x
chosen_mystra_desc;Those chosen by Mystra are concerned with fighting imbalances in the Weave. They are blessed with unprecedented magical power, magic sensing, immunities to magic, and even immunities to poison and disease.;;;;;;;;;;;x
chosen_ubtao;Chosen of Ubtao;;;;;;;;;;;x
chosen_ubtao_desc;The Barae, or Chosen of Ubtao, are the undying people who have traditionally ruled the holy city of Mezro as priest-kings. They were granted powerful regenerative and divine abilities and were rumored to turn to dust if Mezro would be destroyed.;;;;;;;;;;;x
chosen_sune;Chosen of Sune;;;;;;;;;;;x
chosen_sune_desc;Sune chooses her Chosens by their outward and inner beauty. They are expected to keep their appearance as flattering as possible and shower others with sweet words at least five times a month.;;;;;;;;;;;x
chosen_malar;Chosen of Malar;;;;;;;;;;;x
chosen_malar_desc;The Anth-Malar, as Malar's Chosen is called, is the Beastlord's most fervent worshipper. Malar's blessing turns his chosen into a furry and clawed, bestial humanoid.;;;;;;;;;;;x
chosen_seldarine;Chosen of the Seldarine;;;;;;;;;;;x
chosen_seldarine_desc;Only a select noble few receive the honor of being the Chosen of the entire Seldarine pantheon. Those that are selected receive an expansion of power that only the fellowship of brothers and sisters of the wood can grant.;;;;;;;;;;;x
chosen_umberlee;Chosen of Umberlee;;;;;;;;;;;x
